product_id,product_name,brand,category,tags,retailer,price,original_price,discount_pct,currency,in_stock,url,source,scraped_at
31,"5Strands Comprehensive Gut Health Test for Adults & Kids, 1000+ Food Items Tested, Non-Invasive, at Home Hair Sample Screening for Food Intolerances, Results in 4 Days",Amazon,General Wellness,,Amazon,92.65,92.65,,USD,True,https://www.amazon.com/5Strands-Comprehensive-Non-Invasive-Screening-Intolerances/dp/B0FSM1GGPK/ref=sr_1_37?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-37,crawl4ai,2026-02-19T14:49:57.739855
17,"AFIL 1000+ Foods, Drinks, Vitamins, Gut, at-Home Wellness Test Kit, Trusted Hair Analysis for Adults & Kids, at-Home Health Non-Invasive, Gluten, Dairy Health Wellness Indicators",Amazon,General Wellness,,Amazon,89.9,89.9,,USD,True,https://www.amazon.com/Vitamins-Wellness-Analysis-Non-Invasive-Indicators/dp/B0BHHY1F8D/ref=sr_1_18?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-18,crawl4ai,2026-02-19T14:49:57.732510
38,"Eldoncard INC Blood Type Test (Complete KIT) - Find Out if You are A, B, O, AB & RH- Results in Minutes - Air Sealed Envelope, Safety Lancet, Micropipette, Cleansing Swab - 1 Pack",Amazon,General Wellness,,Amazon,9.99,9.99,,USD,True,https://www.amazon.com/Eldoncard-Blood-Type-Test-Complete/dp/B00JFTSPMW/ref=sr_1_44?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-44,crawl4ai,2026-02-19T14:49:57.742641
33,"Everlywell Heart Health at-Home Lab Test for Women and Men, Measures Cholesterol, Triglyceride and HbA1c Levels, Accurate Blood Analysis, CLIA-Certified Lab Results Within Days, Ages 18 Plus",Everlywell,General Wellness,,Amazon,99.0,99.0,,USD,True,https://www.amazon.com/Everlywell-Measures-Cholesterol-Triglyceride-CLIA-Certified/dp/B07BW1B747/ref=sr_1_39?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-39,crawl4ai,2026-02-19T14:49:57.740658
13,"Everlywell at-Home Metabolism Test Collection Kit for Women and Men, Get Accurate Results at Home from a CLIA-Certified Lab Within Days, for Ages 18 Plus",Everlywell,General Wellness,,Amazon,99.0,99.0,,USD,True,https://www.amazon.com/Everlywell-Metabolism-Test-Collection-CLIA-Certified/dp/B01N48FRW3/ref=sr_1_25?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-25,crawl4ai,2026-02-19T14:49:57.735114
2,"Everlywell at-Home Women's Health Test, Measures Biomarkers for Hormonal Imbalances in Women for Accurate Results from CLIA-Certified Labs Within Days, Ages 18 Plus",Everlywell,General Wellness,,Amazon,249.0,249.0,,USD,True,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzA1MDQzMDM1NjIyNTcwOjE3NzE1MTI1MDY6c3BfbXRmOjMwMDg1Mzk3ODA3OTYwMjo6MDo6&url=%2FEverlywell-Womens-Health-Test-CLIA-Certified%2Fdp%2FB076QKHP56%2Fref%3Dsr_1_19_sspa%3Fdib%3DeyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0%26dib_tag%3Dse%26keywords%3Dwomen%2Bat%2Bhome%2Bhealth%2Btest%26qid%3D1771512506%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,crawl4ai,2026-02-19T14:49:57.732829
49,"HSV-1 & HSV-2 at-Home Health Test Kit – Discreet Sample Collection, CLIA-Certified Lab Processing, Secure Online Results for Adults",Amazon,General Wellness,,Amazon,99.0,99.0,,USD,True,https://www.amazon.com/HSV-1-HSV-2-at-Home-Health-Test/dp/B0G16PTNSF/ref=sr_1_56?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-56,crawl4ai,2026-02-19T14:49:57.747348
30,"Simply Sensitivity Checks 900+ Items Food Sensitivity Test Kit for Adults – Foods & Non-Foods, Including Lactose, Gluten, Vitamins, Minerals, Gut Health & More – at-Home Food Intolerance Test Kit",Amazon,General Wellness,,Amazon,56.99,56.99,,USD,True,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzA1MDQzMDM1NjIyNTcwOjE3NzE1MTI1MDY6c3BfbXRmOjMwMTAzMTM2ODM3MzMwMjo6MDo6&url=%2FAdvanced-Sensitivity-Environmental-Intolerance-Accurate%2Fdp%2FB0BG4XJXHJ%2Fref%3Dsr_1_36_sspa%3Fdib%3DeyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0%26dib_tag%3Dse%26keywords%3Dwomen%2Bat%2Bhome%2Bhealth%2Btest%26qid%3D1771512506%26sr%3D8-36-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,crawl4ai,2026-02-19T14:49:57.739461
18,"Viome at-Home Full Body Intelligence 3-in-1 Test Kit for Women & Men, 50+ Health Scores from Blood, Saliva, and Stool, Comprehensive Gut Microbiome Analysis, Biological Age, BioHacker Friendly",Amazon,General Wellness,,Amazon,399.0,399.0,,USD,True,https://www.amazon.com/Viome-Full-Body-Intelligence-TestTM/dp/B0B75T46L8/ref=sr_1_33?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-33,crawl4ai,2026-02-19T14:49:57.738234
1,Women’s Health Test – Comprehensive Home Test for 7 Important Health Markers – CLIA Certified Lab Analysis – Verisana,Amazon,General Wellness,,Amazon,159.0,159.0,,USD,True,https://www.amazon.com/Womens-Health-Test-Comprehensive-Important/dp/B0BBCP2PSZ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-6,crawl4ai,2026-02-19T14:49:57.726582
42,"6-in-1 Female Hormone Test – at-Home Collection kit for Women’s Hormone Imbalance| Measures Key Hormones for Hormonal Acne, Hair Loss | Clinical-Grade Accuracy | Painless Collection",Amazon,Hormone Panel,,Amazon,149.0,149.0,,USD,True,https://www.amazon.com/EqualDx-Female-Hormone-Test-Clinical-Grade/dp/B09SG26PD5/ref=sr_1_49?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-49,crawl4ai,2026-02-19T14:49:57.744544
5,Female Hormone Test – Determine 5 Hormones for Women – Verisana,Amazon,Hormone Panel,,Amazon,149.95,149.95,,USD,True,https://www.amazon.com/Female-Hormone-Test-Determine-Hormones/dp/B07T32NWDR/ref=sr_1_5?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-5,crawl4ai,2026-02-19T14:49:57.726078
39,Home Stress Test – Saliva Test Kit for Daily Cortisol Levels – 4 Cortisol Levels Throughout The Day– CLIA Certified Lab – Verisana,Amazon,Hormone Panel,,Amazon,129.95,129.95,,USD,True,https://www.amazon.com/Home-Stress-Test-Throughout-Certified/dp/B0BBCR9Y17/ref=sr_1_45?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-45,crawl4ai,2026-02-19T14:49:57.743034
3,"6-in-1 Female Hormone Test | Progesterone | Estradiol | LH | FSH | TSH | at-Home Test | Cap & CLIA Accredited Lab |Tests are not Avail in NY, RI",Amazon,Ovulation & Fertility,,Amazon,114.99,114.99,,USD,True,https://www.amazon.com/Hormone-at-Home-Progesterone-Estradiol-Accredited/dp/B0CB542G7C/ref=sr_1_3?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-3,crawl4ai,2026-02-19T14:49:57.725155
51,6Pack FSH Test Strip for Women Menopause Test Strips at Home Ovarian Reserve & Hormone Balance Test,Amazon,Ovulation & Fertility,,Amazon,7.59,1.27,,USD,True,https://www.amazon.com/Menopause-Ovarian-Reserve-Hormone-Balance/dp/B0F1TSMWCM/ref=sr_1_59?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-59,crawl4ai,2026-02-19T14:49:57.748468
45,AMH Test for Women – Check Your Anti-Mullerian Hormone Levels – Essential for Women’s Fertility Insight – Convenient Home Testing – Analysis by CLIA-Certified Lab – Verisana,Amazon,Ovulation & Fertility,,Amazon,69.0,69.0,,USD,True,https://www.amazon.com/AMH-Test-Women-Anti-Mullerian-CLIA-Certified/dp/B0CS6HM156/ref=sr_1_52?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-52,crawl4ai,2026-02-19T14:49:57.745732
27,"Diagnox Health Menopause Test, at-Home FSH Test Strips to Identify Menopause Stages - Fast 5-Minute Results, Clinical-Grade Midstream Strips (2 Pack)",Amazon,Ovulation & Fertility,,Amazon,9.97,4.99,,USD,True,https://www.amazon.com/Diagnox-Health-Menopause-at-Home-Identify/dp/B0DQVSZM3Z/ref=sr_1_32?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-32,crawl4ai,2026-02-19T14:49:57.737926
